mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
3,357,2,roc_auc,hand_till,0.722053484940985,5,0.010495463049128073,Preprocessor1_Model107
7,143,5,roc_auc,hand_till,0.7220459199824278,5,0.011198987906593358,Preprocessor1_Model279
4,286,1,roc_auc,hand_till,0.7220000506933543,5,0.011056289025964434,Preprocessor1_Model036
7,357,7,roc_auc,hand_till,0.7219399385300178,5,0.009635031391177114,Preprocessor1_Model431
6,428,6,roc_auc,hand_till,0.7219252758154544,5,0.013433073608201406,Preprocessor1_Model374
3,500,8,roc_auc,hand_till,0.7219078588225414,5,0.01081308530842501,Preprocessor1_Model507
8,286,4,roc_auc,hand_till,0.7218794383636645,5,0.0109594008912761,Preprocessor1_Model232
5,143,5,roc_auc,hand_till,0.7218637285113476,5,0.014569173645399785,Preprocessor1_Model277
6,286,3,roc_auc,hand_till,0.7218609491588658,5,0.008127688739231241,Preprocessor1_Model166
8,214,1,roc_auc,hand_till,0.7218608266953505,5,0.013006918095077815,Preprocessor1_Model032
8,357,5,roc_auc,hand_till,0.7218027191503381,5,0.011002615954918887,Preprocessor1_Model304
8,428,2,roc_auc,hand_till,0.7216823489414759,5,0.01035973787991853,Preprocessor1_Model120
3,357,4,roc_auc,hand_till,0.7216523742497949,5,0.010588867674115026,Preprocessor1_Model235
7,357,6,roc_auc,hand_till,0.7216170967627317,5,0.01135695715128953,Preprocessor1_Model367
4,286,4,roc_auc,hand_till,0.7215839437531898,5,0.01410458120892348,Preprocessor1_Model228
8,143,1,roc_auc,hand_till,0.7215787802787307,5,0.009975944810128276,Preprocessor1_Model024
7,286,2,roc_auc,hand_till,0.7215711140142191,5,0.012076804074520496,Preprocessor1_Model103
3,286,7,roc_auc,hand_till,0.7215693079297245,5,0.011308481085398168,Preprocessor1_Model419
5,500,1,roc_auc,hand_till,0.7215598909376191,5,0.010308875645092908,Preprocessor1_Model061
5,214,8,roc_auc,hand_till,0.7215504216976439,5,0.009377888961193301,Preprocessor1_Model477
3,357,1,roc_auc,hand_till,0.7215417880803793,5,0.01308940113795745,Preprocessor1_Model043
3,428,6,roc_auc,hand_till,0.7214160715497024,5,0.011642042262301089,Preprocessor1_Model371
5,357,8,roc_auc,hand_till,0.7214110741257567,5,0.01136891902223156,Preprocessor1_Model493
5,286,4,roc_auc,hand_till,0.721372324053078,5,0.010916725569328696,Preprocessor1_Model229
